,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
333,Fe64Ni24Co24Cr24Pd24_sqsfcc,-7.31067,-1169.7076,-0.05418,0.06878,91.51,1.044,167.07,0.0975,12.11,fcc
334,Fe24Ni64Co24Cr24Pd24_sqsfcc,-6.64163,-1062.6613,-0.03881,0.04563,58.52,0.675,108.03,0.0871,11.87,fcc
335,Fe24Ni24Co64Cr24Pd24_sqsfcc,-7.00135,-1120.2164,-0.01118,0.07779,75.93,0.877,140.29,0.0913,11.84,fcc
336,Fe24Ni24Co24Cr64Pd24_sqsfcc,-7.56531,-1210.4494,-0.0502,0.13193,27.82,0.313,50.03,0.1536,11.97,fcc
337,FeNiCoCrMn_sqsbcc,-7.73648,-1237.836,-0.01654,0.11051,107.202,1.08,172.18,0.1641,11.39,bcc
338,Fe31Ni31Co31Cr36Mn31_sqsbcc,-7.79206,-1246.7292,0.04242,0.10684,99.748,1.0,159.84,0.1224,11.37,bcc
339,Fe33Ni33Co33Cr28Mn33_sqsbcc,-7.6933,-1230.9279,0.03319,0.10176,114.833,1.16,184.85,0.091,11.15,bcc
340,Fe34Ni34Co34Cr29Mn29_sqsbcc,-7.65676,-1225.081,0.03642,0.10274,115.025,1.16,185.28,0.1653,11.41,bcc
341,Fe31Ni31Co31Cr31Mn36_sqsbcc,-7.77481,-1243.9696,0.03898,0.10774,109.463,1.1,175.7,0.1106,11.35,bcc
342,Fe33Ni33Co33Cr33Mn28_sqsbcc,-7.70411,-1232.6578,0.04306,0.1073,108.601,1.09,174.54,0.1521,11.39,bcc
343,Fe31Ni36Co31Cr31Mn31_sqsbcc,-7.66941,-1227.1048,0.03587,0.10325,104.427,1.05,167.97,0.127,11.35,bcc
344,Fe33Ni28Co33Cr33Mn33_sqsbcc,-7.81374,-1250.1976,0.04195,0.10758,114.978,1.15,184.4,0.0902,11.39,bcc
345,Fe31Ni31Co36Cr31Mn31_sqsbcc,-7.71401,-1234.2417,0.0401,0.10762,106.603,1.07,171.49,0.1085,11.36,bcc
346,Fe36Ni31Co31Cr31Mn31_sqsbcc,-7.78927,-1246.2838,0.00548,0.0699,38.714,0.39,62.17,0.6422,10.93,bcc
